center_id,city,city_tier,lat,lng,radius,load,capacity_rate,center_sales
Auto_82,荆州市,未知,30.128749,112.959139,0.1,1,0.02,0
Auto_83,荆州市,未知,30.080572,113.34804,0.1,1,0.02,0
Auto_552,赣州市,未知,24.916203,114.821974,0.1,1,0.02,0
Auto_563,赣州市,未知,26.326435,116.34371,0.1,1,0.02,0
Auto_564,赣州市,未知,24.744748,114.536056,0.1,1,0.02,0
Auto_853,泉州市,未知,24.558096,118.587413,0.1,1,0.02,0
Auto_1015,温州市,未知,28.081008,120.927204,0.1,1,0.02,0
Auto_1502,合肥市,未知,31.74344,117.024761,0.1,1,0.02,0
Auto_1503,合肥市,未知,31.325811,117.098195,0.1,1,0.02,0
Auto_1504,合肥市,未知,31.799155,116.874109,0.1,1,0.02,0
Auto_1528,宜宾市,未知,28.823045,104.359017,0.1,1,0.02,0
Auto_1729,武汉市,未知,30.712639,114.529275,0.1,1,0.02,0
Auto_1840,宁德市,未知,27.057736,119.546667,0.1,1,0.02,0
Auto_1841,宁德市,未知,27.181951,120.362528,0.1,1,0.02,0
Auto_2046,临汾市,未知,36.049435,111.496749,0.1,1,0.02,0
Auto_2077,鸡西市,未知,45.2123,130.912039,0.1,1,0.02,0
Auto_2078,鸡西市,未知,45.349643,130.844839,0.1,1,0.02,0
Auto_2144,烟台市,未知,37.914346,120.739166,0.1,1,0.02,0
Auto_2145,烟台市,未知,36.705977,121.240615,0.1,1,0.02,0
Auto_2387,台州市,未知,28.75361,121.635346,0.1,1,0.02,0
Auto_2388,台州市,未知,28.735798,120.478161,0.1,1,0.02,0
Auto_2707,常德市,未知,29.573639,111.369415,0.1,1,0.02,0
Auto_2714,常德市,未知,29.044545,111.549122,0.1,1,0.02,0
Auto_2749,宣城市,未知,31.206279,119.192059,0.1,1,0.02,0
Auto_2765,抚州市,未知,27.916474,116.756878,0.1,1,0.02,0
Auto_2773,黔南布依族苗族自治州,未知,25.427991,106.744341,0.1,1,0.02,0
Auto_2801,濮阳市,未知,35.783652,114.996036,0.1,1,0.02,0
Auto_2823,宜春市,未知,28.291747,115.745666,0.1,1,0.02,0
Auto_3041,重庆市,未知,29.828236,106.063272,0.1,1,0.02,0
Auto_3107,重庆市,未知,30.769523,108.460107,0.1,1,0.02,0
Auto_3143,重庆市,未知,29.997847,108.145648,0.1,1,0.02,0
Auto_3165,重庆市,未知,29.679308,105.937031,0.1,1,0.02,0
Auto_3166,重庆市,未知,31.078974,109.883124,0.1,1,0.02,0
Auto_3167,重庆市,未知,31.100414,108.221466,0.1,1,0.02,0
Auto_3250,滨州市,未知,38.022435,117.876625,0.1,1,0.02,0
Auto_3446,沧州市,未知,37.887909,116.535488,0.1,1,0.02,0
Auto_3453,沧州市,未知,38.038233,116.722873,0.1,1,0.02,0
Auto_3461,沧州市,未知,38.020918,116.291091,0.1,1,0.02,0
Auto_3494,遵义市,未知,27.952379,107.168953,0.1,1,0.02,0
Auto_3674,嘉兴市,未知,30.604509,121.104922,0.1,1,0.02,0
Auto_3867,大连市,未知,38.816891,121.154237,0.1,1,0.02,0
Auto_4103,梧州市,未知,23.494095,111.3252,0.1,1,0.02,0
Auto_4165,扬州市,未知,32.383564,119.592971,0.1,1,0.02,0
Auto_4166,扬州市,未知,32.430003,119.261731,0.1,1,0.02,0
Auto_4259,昆明市,未知,24.937899,102.8938,0.1,1,0.02,0
Auto_4294,临高县,未知,18.664909,110.263233,0.1,1,0.02,0
Auto_4370,绍兴市,未知,29.455836,120.618358,0.1,1,0.02,0
Auto_4700,平顶山市,未知,33.617006,113.356739,0.1,1,0.02,0
Auto_4883,徐州市,未知,33.957718,117.958195,0.1,1,0.02,0
Auto_4884,徐州市,未知,34.326808,117.396982,0.1,1,0.02,0
Auto_5051,太原市,未知,37.559715,112.504317,0.1,1,0.02,0
Auto_5102,廊坊市,未知,39.145046,116.649336,0.1,1,0.02,0
Auto_5168,永州市,未知,25.170979,111.569489,0.1,1,0.02,0
Auto_5210,上饶市,未知,28.983691,116.910895,0.1,1,0.02,0
Auto_5354,福州市,未知,26.134008,119.566182,0.1,1,0.02,0
Auto_5356,福州市,未知,25.947133,119.553969,0.1,1,0.02,0
Auto_5616,成都市,未知,30.800668,103.919248,0.1,1,0.02,0
Auto_5669,成都市,未知,30.954638,104.11567,0.1,1,0.02,0
Auto_5670,成都市,未知,30.434348,104.358595,0.1,1,0.02,0
Auto_5671,成都市,未知,30.877373,103.596411,0.1,1,0.02,0
Auto_5672,成都市,未知,30.401693,103.701682,0.1,1,0.02,0
Auto_5983,北京市,未知,40.168559,116.578825,0.1,1,0.02,0
Auto_5988,北京市,未知,40.374159,115.901418,0.1,1,0.02,0
Auto_5989,北京市,未知,40.527114,116.165344,0.1,1,0.02,0
Auto_6365,清远市,未知,23.738138,113.40912,0.1,1,0.02,0
